248	4	(A B C D)
Phyllotis_caprinus	0100
Phyllotis_darwini	0100
Phyllotis_gerbillus	0110
Phyllotis_limatus	0100
Phyllotis_magister	0100
Phyllotis_osilae	1100
Phyllotis_xanthopygus	0100
Podoxymys_roraimae	0001
Pseudoryzomys_simplex	1001
Punomys_kofordi	1000
Rhagomys_longilingua	1000
Rhagomys_rufescens	1000
Rhipidomys_cariri	1000
Rhipidomys_emiliae	1001
Rhipidomys_gardneri	1001
Rhipidomys_ipukensis	1000
Rhipidomys_itoan	1000
Rhipidomys_latimanus	0011
Rhipidomys_leucodactylus	0001
Rhipidomys_macconnelli	0011
Rhipidomys_macrurus	1000
Rhipidomys_mastacalis	1000
Rhipidomys_nitela	0001
Rhipidomys_tribei	1000
Rhipidomys_wetzeli	0001
Salinomys_delicatus	0100
Scapteromys_aquaticus	1000
Scapteromys_tumidus	1000
Scolomys_melanops	0001
Sigmodon_alstoni	0011
Sigmodon_hirsutus	0010
Sigmodon_peruanus	0010
Sigmodontomys_alfari	0011
Sooretamys_angouya	1000
Tanyuromys_aphrastus	0001
Tapecomys_primus	0100
Tapecomys_wolffsohni	1100
Thalpomys_cerradensis	1000
Thalpomys_lasiotis	1000
Thaptomys_nigrita	1000
Thomasomys_andersoni	1000
Thomasomys_aureus	1001
Thomasomys_baeops	0011
Thomasomys_caudivarius	0001
Thomasomys_cinnameus	0011
Thomasomys_daphne	1000
Thomasomys_erro	0001
Thomasomys_gracilis	1001
Thomasomys_ischyrus	1001
Thomasomys_ladewi	1000
Thomasomys_notatus	1001
Thomasomys_oreas	1000
Transandinomys_bolivaris	0001
Transandinomys_talamancae	0011
Wiedomys_cerradensis	1000
Wiedomys_pyrrhorhinos	1000
Zygodontomys_brevicauda	0011
