"x" "y"
"1" -7101322.62400329 1510682.19224758
"2" -6881322.62400329 1510682.19224758
"3" -7321322.62400329 1400682.19224758
"4" -7211322.62400329 1400682.19224758
"5" -7101322.62400329 1400682.19224758
"6" -6991322.62400329 1400682.19224758
"7" -6881322.62400329 1400682.19224758
"8" -6001322.62400329 1400682.19224758
"9" -7431322.62400329 1290682.19224758
"10" -7321322.62400329 1290682.19224758
"11" -7211322.62400329 1290682.19224758
"12" -7101322.62400329 1290682.19224758
"13" -6991322.62400329 1290682.19224758
"14" -6881322.62400329 1290682.19224758
"15" -6771322.62400329 1290682.19224758
"16" -6661322.62400329 1290682.19224758
"17" -6551322.62400329 1290682.19224758
"18" -6441322.62400329 1290682.19224758
"19" -6331322.62400329 1290682.19224758
"20" -6221322.62400329 1290682.19224758
"21" -6111322.62400329 1290682.19224758
"22" -7871322.62400329 1180682.19224758
"23" -7541322.62400329 1180682.19224758
"24" -7431322.62400329 1180682.19224758
"25" -7321322.62400329 1180682.19224758
"26" -7211322.62400329 1180682.19224758
"27" -7101322.62400329 1180682.19224758
"28" -6991322.62400329 1180682.19224758
"29" -6881322.62400329 1180682.19224758
"30" -6771322.62400329 1180682.19224758
"31" -6661322.62400329 1180682.19224758
"32" -6551322.62400329 1180682.19224758
"33" -6441322.62400329 1180682.19224758
"34" -6331322.62400329 1180682.19224758
"35" -6221322.62400329 1180682.19224758
"36" -6111322.62400329 1180682.19224758
"37" -8201322.62400329 1070682.19224758
"38" -8091322.62400329 1070682.19224758
"39" -7981322.62400329 1070682.19224758
"40" -7871322.62400329 1070682.19224758
"41" -7761322.62400329 1070682.19224758
"42" -7651322.62400329 1070682.19224758
"43" -7541322.62400329 1070682.19224758
"44" -7431322.62400329 1070682.19224758
"45" -7321322.62400329 1070682.19224758
"46" -7211322.62400329 1070682.19224758
"47" -7101322.62400329 1070682.19224758
"48" -6991322.62400329 1070682.19224758
"49" -6881322.62400329 1070682.19224758
"50" -6771322.62400329 1070682.19224758
"51" -6661322.62400329 1070682.19224758
"52" -6551322.62400329 1070682.19224758
"53" -6441322.62400329 1070682.19224758
"54" -6331322.62400329 1070682.19224758
"55" -6221322.62400329 1070682.19224758
"56" -6111322.62400329 1070682.19224758
"57" -6001322.62400329 1070682.19224758
"58" -8201322.62400329 960682.192247575
"59" -8091322.62400329 960682.192247575
"60" -7981322.62400329 960682.192247575
"61" -7761322.62400329 960682.192247575
"62" -7651322.62400329 960682.192247575
"63" -7541322.62400329 960682.192247575
"64" -7431322.62400329 960682.192247575
"65" -7321322.62400329 960682.192247575
"66" -7211322.62400329 960682.192247575
"67" -7101322.62400329 960682.192247575
"68" -6991322.62400329 960682.192247575
"69" -6881322.62400329 960682.192247575
"70" -6771322.62400329 960682.192247575
"71" -6661322.62400329 960682.192247575
"72" -6551322.62400329 960682.192247575
"73" -6441322.62400329 960682.192247575
"74" -6331322.62400329 960682.192247575
"75" -6221322.62400329 960682.192247575
"76" -6111322.62400329 960682.192247575
"77" -6001322.62400329 960682.192247575
"78" -5891322.62400329 960682.192247575
"79" -7761322.62400329 850682.192247575
"80" -7651322.62400329 850682.192247575
"81" -7541322.62400329 850682.192247575
"82" -7431322.62400329 850682.192247575
"83" -7321322.62400329 850682.192247575
