Id	fly	side	image	rep	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30
c0003d01m01l1_1	c0003d01m01	l	1	1	-0.24953921057124787	0.0645230324683287	-0.23995539456665585	0.01826374403253429	-0.26650172460480337	-0.01992987359451637	-0.20751093648967256	-0.06506115281545541	-0.1949621807048595	-0.04934785048567709	-0.15998612527091807	0.021713060230218607	-0.14144055831421287	0.09203929482785331	-0.06285821563033464	0.01938066820324022	-0.063320587922543	-0.005988669696768977	0.08697990630604796	-0.030987881058163358	0.08908993718869665	-0.09900130212125031	0.29651595868509806	0.1818005747957241	0.47249951094062687	0.07491739584451362	0.4588078841015365	-0.01907789386275384	0.18218173685324351	-0.18324314676782666
c0003d01m01l1_2	c0003d01m01	l	1	2	-0.24879530825134458	0.06515733806957998	-0.23919358323606088	0.017731697188481277	-0.2659795829725987	-0.01935999958436721	-0.20811801674535166	-0.06480751215879607	-0.19551464316641887	-0.0491039979174524	-0.16032848279002238	0.02196108063838556	-0.14158797519785193	0.09232121355621341	-0.0630874200683848	0.019387595719909508	-0.062405711873201354	-0.006982072759630999	0.0878977179256886	-0.031285597205852056	0.08766741506721998	-0.09962286959704736	0.29698978235445095	0.18221752311724707	0.4706280776437428	0.07563287422120268	0.4599554506475355	-0.018087009126913904	0.1818722806625954	-0.18516026416095932
c0003d01m01l2_1	c0003d01m01	l	2	1	-0.2505791364089592	0.06453980741455355	-0.23771219897744147	0.016876556071483056	-0.26473201993737006	-0.01925113175657204	-0.20818001340265227	-0.0640644700946531	-0.1945847263129446	-0.0481852417425747	-0.16345919188792157	0.0220499953311703	-0.1410809470584074	0.09193361832948273	-0.06261665286196734	0.019529952607679726	-0.06479870493959312	-0.007933238222371075	0.08830503564699993	-0.030253767448994835	0.087791717507268	-0.09925865470151685	0.2966447740777465	0.18069786610103278	0.47171554755010187	0.07494287552830513	0.46014525844854504	-0.018596792595617508	0.1831412585565959	-0.1830273748214088
c0003d01m01l2_2	c0003d01m01	l	2	2	-0.2514815039033802	0.06516225957371347	-0.23861771576992902	0.017476311454408786	-0.26451694482028276	-0.019704170587493172	-0.20685991174433666	-0.0645048659947383	-0.19435197553618358	-0.048665781087823226	-0.1621082106836013	0.02163465263871309	-0.14193936676276026	0.0925462286753146	-0.06236867582497528	0.020142249822215214	-0.0634604820525672	-0.007286712265705227	0.08754976558238556	-0.030822654709251295	0.0881196346021522	-0.09981032087473488	0.2960028885214752	0.18016383293569332	0.472163856659709	0.075477428806049	0.4605717210579247	-0.018095148423580516	0.18129692067437192	-0.18371330996278076
c0003d01m01r1_1	c0003d01m01	r	1	1	-0.24996819520719205	0.06464597815168685	-0.23723703382393455	0.01668112122065896	-0.26721419771830784	-0.01994891596209134	-0.20939229764169556	-0.06559003893393874	-0.19648855304661172	-0.04814171207273577	-0.16163309287712674	0.022473991025574295	-0.13886003643488062	0.09238274378312436	-0.0603945361532212	0.0199110908054612	-0.05866412317909712	-0.006428698477823327	0.08257114616944634	-0.0318091365910769	0.0845664853763569	-0.09689745762304403	0.2914707710769188	0.17904273543028948	0.47323030588742504	0.0755043402809574	0.46411375944858896	-0.018956941307155993	0.18389959812333245	-0.18286909972988633
c0003d01m01r1_2	c0003d01m01	r	1	2	-0.2489192493207968	0.065341268373573	-0.23837903376950648	0.01707720133180794	-0.26509883984930543	-0.01903641538566091	-0.20808819274850457	-0.06699594977669243	-0.1964350995715201	-0.04863904299503387	-0.1626608556852023	0.02175454768169271	-0.13987936392905226	0.0916108341369659	-0.05948390415333948	0.020565405481745305	-0.06101276967379016	-0.006240621154717748	0.08228428471339413	-0.031332847772229	0.08317316019240613	-0.09654390083266128	0.2922034764759757	0.1794689100848111	0.47397540479169975	0.0748511545631804	0.4635827421707623	-0.018628545186035336	0.18473824035677985	-0.18325199855074442
c0003d01m01r2_1	c0003d01m01	r	2	1	-0.24956510549084238	0.0644049366438482	-0.23794247037315042	0.017446914880286397	-0.2659069362182287	-0.019785867641880076	-0.2088529758748997	-0.06541684905119727	-0.1951236099340686	-0.04851369211205221	-0.16207343232310575	0.023027247754638	-0.13982763687720637	0.09266731523444086	-0.06015419161064078	0.01983755462305565	-0.05990430378530327	-0.006849993038240914	0.08261829014910119	-0.031839929874111626	0.08413326502177121	-0.09729024579249448	0.29143993069092083	0.17985053717849378	0.4734738366095387	0.07606290423064938	0.4635486171602287	-0.019245884226008474	0.18413672285588595	-0.18435494880942682
c0003d01m01r2_2	c0003d01m01	r	2	2	-0.2502251545490721	0.06418319380770231	-0.2375883968491235	0.017461735566855086	-0.26555467610329775	-0.019694002714694063	-0.20969946080719287	-0.06551774342931994	-0.19597391907686398	-0.04865382416649318	-0.1618092946908409	0.022954294419318812	-0.1395156528210168	0.09248204797559531	-0.058940492909755005	0.01985119848220067	-0.05998531502863129	-0.005915434173926105	0.08359727762785951	-0.03191657717197714	0.08269304798236853	-0.09658070153700389	0.29022350604072533	0.1789105525705415	0.4729970101627957	0.07525300174793363	0.4649535329117077	-0.018472310069192657	0.1848279881103374	-0.1843454313075397
c0003d01m02l1_1	c0003d01m02	l	1	1	-0.2519654676101277	0.06419920917084741	-0.23947313383872	0.017781307271975546	-0.265261560075386	-0.018125910547803284	-0.21034003339062068	-0.06411799465930236	-0.1967174467213365	-0.04720935825364736	-0.164263797255539	0.021824696302853868	-0.13855494115126207	0.08987802416675808	-0.06300400461045248	0.020470899381336845	-0.06373794393196816	-0.006050170282703057	0.08917338151537314	-0.030907444700485166	0.0894949658330992	-0.09632006627968819	0.28780377927946793	0.17483772534569605	0.47273136812322364	0.07195092314935451	0.46299364987408276	-0.01904610107624928	0.1911211839601649	-0.17916573898894364
c0003d01m02l1_2	c0003d01m02	l	1	2	-0.2521081479083046	0.06427191548929924	-0.2395733279371736	0.017888492918997474	-0.26515112911341365	-0.0191503369807709	-0.21037463008042623	-0.06394191164154694	-0.19661536913930514	-0.048149970645839396	-0.16440755450781228	0.022006824922557757	-0.13669536942988353	0.09150084142054196	-0.06319394238668599	0.020749035860708212	-0.06374115394177166	-0.006881152115072628	0.08783017036915623	-0.03061500125391894	0.08950444933459907	-0.09695358768129422	0.28728021502499146	0.17538392498469596	0.47350761808877867	0.07177497424447012	0.4627399916720025	-0.019352270728887358	0.19099817995525317	-0.17853177879394105
